diseaseId	diseaseName	diseaseType	diseaseClass	diseaseSemanticType	NofSNPs	NofPmids
C3160739	FANCONI ANEMIA, COMPLEMENTATION GROUP E	disease	C16;C18;C15	Disease or Syndrome	3	0
C3160761	Diabetic dyslipidaemia	disease		Disease or Syndrome	11	3
C3160814	Cannabis use	disease		Mental or Behavioral Dysfunction	44	30
C3160815	Intraductal papillary mucinous neoplasm	disease		Neoplastic Process	2	1
C3160844	PAI-1 polymorphism	disease		Disease or Syndrome	1	1
C3160845	PAI-1 4G/5G polymorphism	disease		Disease or Syndrome	3	2
C3160858	Posterior reversible encephalopathy syndrome	disease	C10	Disease or Syndrome	1	1
C3160886	Non ST segment elevation acute coronary syndrome	disease		Disease or Syndrome	2	1
C3160887	Node-positive breast cancer	disease		Neoplastic Process	3	3
C3160889	Node-negative breast cancer	disease		Neoplastic Process	2	2
C3160901	Behcet's uveitis	disease		Disease or Syndrome	2	1
C3161330	Profound intellectual disabilities	disease	C23;C10;F03;F01	Mental or Behavioral Dysfunction	10	3
C3161650	Primary immunoglobulin A nephropathy (disorder)	disease	C13;C12;C20	Disease or Syndrome	1	1
C3163622	Papillary Meningioma	disease	C04;C10	Neoplastic Process	3	1
C3163801	Abnormality of aortic arch	disease		Finding	1	0
C3163918	Tumor thrombus	phenotype	C14	Disease or Syndrome	3	2
C3164407	Oligoasthenozoospermia	disease		Disease or Syndrome	6	4
C3164429	Indeterminate atrial arrangement	disease		Congenital Abnormality	1	1
C3164445	Abnormality of aortic valve	disease		Anatomical Abnormality	2	0
C3165106	Infiltrating duct carcinoma of female breast	disease	C04;C17	Neoplastic Process	10	0
C3165521	Primary malignant neoplasm of lateral wall of oropharynx	disease		Neoplastic Process	5	1
C3178777	Bisphosphonate-Associated Osteonecrosis of the Jaw	phenotype	C23;C05;C07	Pathologic Function	3	1
C3178782	Aortic Stiffness	phenotype		Disease or Syndrome	11	3
C3178789	Widespread Chronic Pain	disease	C23	Disease or Syndrome	12	6
C3178801	Stroke, Lacunar	disease	C23;C10;C14	Disease or Syndrome	11	6
C3178803	Social Anhedonia	disease	C23;C10;F01	Mental or Behavioral Dysfunction	4	2
C3178805	Heterotaxy Syndrome	disease	C16;C15;C14	Disease or Syndrome	8	5
C3179239	Osteopetrosis Autosomal Dominant Type 2	disease	C05	Disease or Syndrome	7	6
C3179455	Niemann-Pick Disease, Type C1	disease	C16;C18;C10;C15	Disease or Syndrome	192	122
C3179508	Aplasia/Hypoplasia of the thumb	phenotype	C05	Finding	1	1
C3203102	Idiopathic pulmonary arterial hypertension	disease	C08	Disease or Syndrome	24	24
C3203356	Factor II deficiency	disease	C15	Disease or Syndrome	4	2
C3203358	Hypoventilation	phenotype	C23;C08	Pathologic Function	2	0
C3203483	Pulmonary chondroma	disease	C04;C08	Neoplastic Process	6	0
C3203670	NAT2 polymorphism	disease		Disease or Syndrome	4	2
C3203671	CYP2D6 polymorphism	disease		Disease or Syndrome	5	5
C3203672	CYP2C19 polymorphism	disease		Disease or Syndrome	4	3
C3203738	Fowler syndrome	disease	C13;C12	Disease or Syndrome	1	1
C3241937	Nonalcoholic Steatohepatitis	disease	C06	Disease or Syndrome	17	27
C3245525	Familial renal glucosuria	disease	C16;C18;C13;C12	Disease or Syndrome	2	2
C3250443	MYOTONIC DYSTROPHY 1	disease	C16;C05;C10	Disease or Syndrome	14	5
C3258293	Valvular disease	disease		Disease or Syndrome	1	1
C3263719	Primary acquired melanosis	disease	C04;C11	Disease or Syndrome	2	1
C3266076	Orofacial cleft	disease		Congenital Abnormality	2	1
C3266102	Steroid resistant nephrotic syndrome of childhood	disease	C13;C12	Disease or Syndrome	19	18
C3266164	Dropped head syndrome	disease		Disease or Syndrome	1	1
C3266262	Multiple Chronic Conditions	disease	C23	Disease or Syndrome	42	32
C3266731	2-methyl-3-hydroxybutyric aciduria	phenotype	C23;C16;C10	Disease or Syndrome	10	13
C3266898	Waardenburg Syndrome	disease	C16	Disease or Syndrome	8	20
C3266959	Acute focal bacterial nephritis	disease		Disease or Syndrome	5	3
C3267073	Autoinflammatory disease	disease		Disease or Syndrome	10	7
C3272265	Three Vessel Coronary Disease	disease		Disease or Syndrome	2	2
C3272525	Monomorphic Epitheliotropic Intestinal T-Cell Lymphoma	disease		Neoplastic Process	2	1
C3272797	Colon Serrated Polyposis	disease	C23	Disease or Syndrome	1	1
C3272802	Hamartomatous polyposis	disease	C23;C04	Disease or Syndrome	3	1
C3272809	Colorectal Serrated Adenocarcinoma	disease		Neoplastic Process	2	1
C3272841	MUTYH-Associate Polyposis	disease	C16;C04	Neoplastic Process	36	69
C3272931	Fibroblast Growth Factor 23 Measurement	phenotype		Laboratory Procedure	13	1
C3274515	Severe Bronchopulmonary Dysplasia	disease	C16;C08	Disease or Syndrome	2	1
C3274516	Single Ventricle Defect	disease		Congenital Abnormality	5	1
C3274519	Surfactant Protein C Deficiency	disease		Disease or Syndrome	1	1
C3275406	MENTAL RETARDATION, X-LINKED, SYNDROMIC, RAYMOND TYPE	disease		Disease or Syndrome	6	0
C3275408	MENTAL RETARDATION, X-LINKED 96	disease		Disease or Syndrome	2	1
C3275417	Ragged-red muscle fibers	phenotype		Finding	1	0
C3275438	AUTISM, SUSCEPTIBILITY TO, X-LINKED 5	disease		Finding	2	3
C3275443	MENTAL RETARDATION, X-LINKED 90 (disorder)	disease		Disease or Syndrome	5	0
C3275445	X-linked immunodeficiency with magnesium defect, Epstein-Barr virus infection and neoplasia	disease	C16;C20;C15	Disease or Syndrome	6	0
C3275447	Ogden syndrome	disease	C23;C16	Disease or Syndrome	12	8
C3275459	AMYOTROPHIC LATERAL SCLEROSIS 15, WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA	disease		Disease or Syndrome	9	6
C3275464	MENTAL RETARDATION, X-LINKED, SYNDROMIC, NASCIMENTO TYPE	disease		Disease or Syndrome	4	2
C3275476	CHONDRODYSPLASIA WITH PLATYSPONDYLY, DISTINCTIVE BRACHYDACTYLY, HYDROCEPHALY, AND MICROPHTHALMIA	disease		Disease or Syndrome	1	0
C3275487	X-linked cerebral, cerebellar, coloboma syndrome	disease	C23;C16;C11;C10;F03;F01	Disease or Syndrome	2	1
C3275495	KABUKI SYNDROME 2	disease		Disease or Syndrome	20	3
C3275508	MULTIPLE CONGENITAL ANOMALIES-HYPOTONIA-SEIZURES SYNDROME 2	disease		Disease or Syndrome	10	5
C3275558	MENTAL RETARDATION, X-LINKED, SYNDROMIC 16	disease		Disease or Syndrome	1	0
C3275684	MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, MITOCHONDRIAL TYPE 1	disease		Disease or Syndrome	3	2
C3275686	CARDIOMYOPATHY, APICAL HYPERTROPHIC, AND NEUROPATHY	disease		Disease or Syndrome	1	0
C3275750	ATRIOVENTRICULAR SEPTAL DEFECT 3	disease		Disease or Syndrome	2	1
C3275799	Spondylolisthesis at L5-S1	phenotype	C05	Finding	3	0
C3275898	RENAL DYSPLASIA, CYSTIC, SUSCEPTIBILITY TO	disease		Finding	2	1
C3275899	Hyperechogenic kidneys	phenotype		Finding	2	0
C3275959	LEUKEMIA, ACUTE MYELOID, SUSCEPTIBILITY TO	phenotype		Finding	7	0
C3275998	THROMBOCYTHEMIA 2	disease		Disease or Syndrome	4	4
C3276036	High anterior hairline	phenotype		Finding	3	1
C3276074	PARAGANGLIOMAS 1 WITH SENSORINEURAL HEARING LOSS	disease		Finding	2	0
C3276096	ATRIAL SEPTAL DEFECT 7 WITH OR WITHOUT ATRIOVENTRICULAR CONDUCTION DEFECTS	disease		Disease or Syndrome	31	8
C3276161	ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 2	disease		Disease or Syndrome	16	1
C3276200	MALE GERM CELL TUMOR, SOMATIC	disease		Finding	2	0
C3276228	ACRODYSOSTOSIS 1 WITH OR WITHOUT HORMONE RESISTANCE	disease	C23;C16;C05;C10;F03;F01	Disease or Syndrome	6	7
C3276239	LOW DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 1	phenotype		Finding	2	0
C3276240	LONG QT SYNDROME 2/3, DIGENIC	disease		Disease or Syndrome	2	0
C3276241	LONG QT SYNDROME 3/6, DIGENIC Disorder	disease		Disease or Syndrome	2	0
C3276276	MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 1	disease		Disease or Syndrome	1	1
C3276419	USHER SYNDROME, TYPE ID/F, DIGENIC	disease		Finding	2	0
C3276432	MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 1	disease		Disease or Syndrome	4	5
C3276539	CUTIS LAXA, AUTOSOMAL DOMINANT 1	disease		Disease or Syndrome	1	0
C3276549	OPTIC ATROPHY WITH OR WITHOUT DEAFNESS, OPHTHALMOPLEGIA, MYOPATHY, ATAXIA, AND NEUROPATHY	disease		Disease or Syndrome	22	10
C3276551	DENTIN DYSPLASIA, TYPE I, WITH EXTREME MICRODONTIA AND MISSHAPEN TEETH	disease		Congenital Abnormality	2	0
C3276611	Absent or delayed speech development	phenotype		Finding	9	0
C3276623	Toenail dysplasia	phenotype		Finding	2	1
C3276706	Small Fiber Neuropathy	disease	C10	Disease or Syndrome	8	5
C3277019	Horizontal eyebrow	phenotype		Finding	1	0
C3277059	Congenital Bilateral Cataracts	disease		Disease or Syndrome	1	1
C3277074	BARRETT ESOPHAGUS/ESOPHAGEAL ADENOCARCINOMA	disease		Finding	2	0
C3277076	BERNARD-SOULIER SYNDROME, TYPE A2, AUTOSOMAL DOMINANT	disease		Disease or Syndrome	2	1
C3277184	Decreased patellar reflex	phenotype		Finding	2	0
C3277190	THROMBOCYTHEMIA 2, SOMATIC	disease		Finding	1	0
C3277226	Restrictive ventilatory defect	phenotype		Finding	8	0
C3277286	HYPERSENSITIVITY SYNDROME, CARBAMAZEPINE-INDUCED, SUSCEPTIBILITY TO	phenotype		Finding	1	0
C3277671	THROMBOCYTHEMIA 1	disease		Disease or Syndrome	4	4
C3277679	EPIDERMAL NEVUS WITH UROTHELIAL CANCER, SOMATIC	disease		Neoplastic Process	1	0
C3277688	Progressive forgetfulness	phenotype	C23;C10;F01	Finding	1	0
C3277700	LONG QT SYNDROME 1/2, DIGENIC (disorder)	disease		Disease or Syndrome	6	0
C3277701	VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 6	disease		Finding	1	0
C3277723	JOUBERT SYNDROME 12	disease		Disease or Syndrome	2	0
C3277900	NAIL DISORDER, NONSYNDROMIC CONGENITAL, 4	disease		Disease or Syndrome	13	1
C3277940	Generalized hypertrichosis	phenotype	C17	Finding	4	0
C3278123	Severe hydrocephalus	phenotype	C10	Finding	1	0
C3278138	FIBROCHONDROGENESIS 1	disease		Disease or Syndrome	4	0
C3278147	GELEOPHYSIC DYSPLASIA 1	disease		Disease or Syndrome	12	2
C3278148	BERNARD-SOULIER SYNDROME, TYPE A1	disease		Disease or Syndrome	4	0
C3278153	GLAUCOMA, PRIMARY OPEN ANGLE, JUVENILE-ONSET	disease		Disease or Syndrome	1	0
C3278154	GLUTARIC ACIDEMIA IIA	disease		Disease or Syndrome	3	0
C3278155	GLUTARIC ACIDEMIA IIB	disease		Disease or Syndrome	2	0
C3278156	GLUTARIC ACIDEMIA IIC	disease		Disease or Syndrome	4	0
C3278204	Dysmyelinating leukodystrophy	phenotype		Finding	2	0
C3278211	THROMBOPHILIA DUE TO PROTEIN S DEFICIENCY, AUTOSOMAL DOMINANT	disease		Disease or Syndrome	38	30
C3278322	Cerebellar dysplasia	phenotype		Finding	1	0
C3278384	HYPOINSULINEMIC HYPOGLYCEMIA WITH HEMIHYPERTROPHY	disease		Disease or Syndrome	1	1
C3278401	Hypopigmentation of hair	phenotype		Finding	1	0
C3278404	MULTIPLE JOINT DISLOCATIONS, SHORT STATURE, AND CRANIOFACIAL DYSMORPHISM WITH OR WITHOUT CONGENITAL HEART DEFECTS	disease		Disease or Syndrome	5	4
C3278481	MICROCEPHALY AND CHORIORETINOPATHY, AUTOSOMAL RECESSIVE, 1	disease		Disease or Syndrome	7	0
C3278509	Spinal fusion	disease		Anatomical Abnormality	2	1
C3278636	Neonatal insulin-dependent diabetes mellitus	phenotype		Finding	6	0
C3278658	Linear hyperpigmentation	phenotype		Finding	2	1
C3278664	LIVER FAILURE, INFANTILE, TRANSIENT	disease		Disease or Syndrome	7	4
C3278923	Dilated ventricles (finding)	phenotype		Finding	32	2
C3278953	Axonal polyneuropathy	phenotype		Finding	2	1
C3278975	Attenuation of retinal blood vessels	phenotype		Finding	2	0
C3279093	LONG QT SYNDROME 2/9, DIGENIC	disease		Disease or Syndrome	2	0
C3279191	Arterial tortuosity	phenotype		Finding	1	0
C3279222	Aplasia/Hypoplasia of the cerebellum	phenotype		Finding	5	0
C3279392	PSEUDOXANTHOMA ELASTICUM, MODIFIER OF SEVERITY OF	disease		Disease or Syndrome	1	0
C3279397	Very long chain fatty acid accumulation	phenotype		Finding	1	1
C3279422	Prominent incisors	phenotype		Finding	4	0
C3279470	HYPOTRICHOSIS 8	disease	C17	Disease or Syndrome	8	4
C3279561	HEMOGLOBIN H DISEASE, NONDELETIONAL	disease		Disease or Syndrome	10	0
C3279564	Osteogenesis Imperfecta, Type VI	disease	C16;C17;C05	Disease or Syndrome	6	0
C3279571	Ectopic posterior pituitary	phenotype		Finding	2	0
C3279614	BLEEDING DISORDER, PLATELET-TYPE, 13, SUSCEPTIBILITY TO	disease		Finding	3	2
C3279627	EPILEPSY, PROGRESSIVE MYOCLONIC, 6	disease		Disease or Syndrome	3	1
C3279660	DEAFNESS, AUTOSOMAL RECESSIVE 29	disease		Disease or Syndrome	8	5
C3279664	Emberger Syndrome	disease	C16	Disease or Syndrome	15	14
C3279675	Perisylvian polymicrogyria	phenotype	C16;C10	Finding	3	0
C3279690	MOYAMOYA DISEASE 5	disease		Disease or Syndrome	3	1
C3279693	ATRIAL FIBRILLATION, FAMILIAL, 11	disease		Disease or Syndrome	5	1
C3279695	ATRIAL FIBRILLATION, FAMILIAL, 12	disease		Disease or Syndrome	2	1
C3279699	Encephalocardiomyopathy, Mitochondrial, Neonatal, Due To Atp Synthase Deficiency	disease	C18;C05;C10	Disease or Syndrome	4	7
C3279708	MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 3	disease		Disease or Syndrome	1	1
C3279722	MYOPATHY, DISTAL, 4	disease		Disease or Syndrome	38	6
C3279725	Hip flexor weakness	phenotype		Finding	1	0
C3279738	SPASTIC PARAPLEGIA 47, AUTOSOMAL RECESSIVE	disease		Disease or Syndrome	7	4
C3279743	SPASTIC PARAPLEGIA 52, AUTOSOMAL RECESSIVE	disease		Disease or Syndrome	4	0
C3279748	IMMUNODEFICIENCY-CENTROMERIC INSTABILITY-FACIAL ANOMALIES SYNDROME 2	disease		Disease or Syndrome	4	1
C3279754	PSORIASIS 13, SUSCEPTIBILITY TO	disease		Finding	1	2
C3279756	HERMANSKY-PUDLAK SYNDROME 7	disease		Disease or Syndrome	2	0
C3279757	CHONDRODYSPLASIA WITH JOINT DISLOCATIONS, GPAPP TYPE	disease		Disease or Syndrome	4	1
C3279774	ASPERGILLOSIS, SUSCEPTIBILITY TO	disease		Finding	1	0
C3279775	MULTIPLE CONGENITAL ANOMALIES-HYPOTONIA-SEIZURES SYNDROME 1	disease		Disease or Syndrome	20	8
C3279786	ANHAPTOGLOBINEMIA	disease		Disease or Syndrome	1	1
C3279790	Atrial Septal Defect 3	disease	C16;C14	Disease or Syndrome; Congenital Abnormality	1	1
C3279791	SICK SINUS SYNDROME 3, SUSCEPTIBILITY TO	disease		Finding	1	1
C3279792	SHORT-RIB THORACIC DYSPLASIA 7 WITH OR WITHOUT POLYDACTYLY	disease		Disease or Syndrome; Congenital Abnormality	13	8
C3279793	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 8	disease		Disease or Syndrome	8	6
C3279800	KEPPEN-LUBINSKY SYNDROME	disease		Disease or Syndrome	3	1
C3279839	MENTAL RETARDATION, AUTOSOMAL DOMINANT 7	disease		Disease or Syndrome	39	12
C3279840	Methylmalonate Semialdehyde Dehydrogenase Deficiency	disease	C16;C18	Disease or Syndrome	5	1
C3279841	Pyruvate Dehydrogenase E1-Beta Deficiency	disease	C16;C18;C10	Disease or Syndrome	2	1
C3279843	MOSAIC VARIEGATED ANEUPLOIDY SYNDROME 2	disease		Disease or Syndrome	3	0
C3279875	CORTICAL MALFORMATIONS, OCCIPITAL	disease		Disease or Syndrome	4	1
C3279885	Hereditary Sensory and Autonomic Neuropathy Type Ie	disease	C16;C10	Disease or Syndrome	3	1
C3279888	Frontal lobe atrophy	phenotype		Finding	1	0
C3279899	Hydrolethalus Syndrome 2	disease		Disease or Syndrome	1	0
C3279904	Lactate Dehydrogenase B Deficiency	disease	C16;C18	Disease or Syndrome	5	8
C3279905	FOCAL SEGMENTAL GLOMERULOSCLEROSIS 6	disease		Disease or Syndrome	2	2
C3279941	STICKLER SYNDROME, TYPE IV	disease		Disease or Syndrome	2	0
C3279947	NAIL DISORDER, NONSYNDROMIC CONGENITAL, 9	disease		Disease or Syndrome	1	1
C3279948	DEAFNESS, AUTOSOMAL DOMINANT 64	disease		Disease or Syndrome	1	1
C3279964	Hyperbiliverdinemia	disease	C06	Disease or Syndrome	2	0
C3279974	NAIL DISORDER, NONSYNDROMIC CONGENITAL, 10	disease		Disease or Syndrome	2	1
C3279990	CANDIDIASIS, FAMILIAL, 7	disease		Disease or Syndrome	20	19
C3279991	DELAYED SLEEP PHASE DISORDER, SUSCEPTIBILITY TO	phenotype		Finding	1	0
C3279992	PARAGANGLIOMAS 5	disease		Disease or Syndrome	39	27
C3279997	MYOPIA 21, AUTOSOMAL DOMINANT	disease		Disease or Syndrome	9	4
C3280011	BRITTLE CORNEA SYNDROME 2	disease		Disease or Syndrome	2	2
C3280026	HERMANSKY-PUDLAK SYNDROME 9	disease		Disease or Syndrome	1	3
C3280030	GATA2 Deficiency	disease	C16	Disease or Syndrome	18	15
C3280031	JOUBERT SYNDROME 13	disease		Disease or Syndrome	4	1
C3280036	MECKEL SYNDROME, TYPE 10	disease		Disease or Syndrome	4	1
C3280041	RETINITIS PIGMENTOSA 61	disease		Disease or Syndrome	2	1
C3280042	RETINITIS PIGMENTOSA 62	disease		Disease or Syndrome	6	2
C3280054	GELEOPHYSIC DYSPLASIA 2	disease		Disease or Syndrome	27	1
C3280062	LEBER CONGENITAL AMAUROSIS 16	disease		Disease or Syndrome	5	1
C3280073	CRANIOSYNOSTOSIS AND DENTAL ANOMALIES	disease	C16;C05	Disease or Syndrome	4	1
C3280094	PIGMENTED NODULAR ADRENOCORTICAL DISEASE, PRIMARY, 3	disease		Disease or Syndrome	1	1
C3280096	TRANSFERRIN SERUM LEVEL QUANTITATIVE TRAIT LOCUS 2	phenotype		Finding	2	0
C3280099	CRANIOFACIAL ANOMALIES AND ANTERIOR SEGMENT DYSGENESIS SYNDROME	disease		Disease or Syndrome	1	1
C3280112	MYASTHENIC SYNDROME, CONGENITAL, 16	disease		Disease or Syndrome	10	3
C3280113	NEPHROTIC SYNDROME, TYPE 5, WITH OR WITHOUT OCULAR ABNORMALITIES	disease		Disease or Syndrome	10	3
C3280120	Glycoprotein VI deficiency	disease		Disease or Syndrome	2	2
C3280127	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 15	disease		Disease or Syndrome	7	1
C3280133	PARKINSON DISEASE 17	disease		Disease or Syndrome	1	0
C3280146	THREE M SYNDROME 3	disease		Disease or Syndrome	2	0
C3280153	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 17	disease		Disease or Syndrome	6	2
C3280155	MECKEL SYNDROME, TYPE 9	disease		Disease or Syndrome	1	0
C3280160	ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED, SUSCEPTIBILITY TO, 4	phenotype		Finding	6	0
C3280168	NEUROPATHY, HEREDITARY SENSORY, TYPE IIC	disease		Disease or Syndrome	19	11
C3280182	ADAMS-OLIVER SYNDROME 2	disease		Disease or Syndrome	8	1
C3280203	WARBURG MICRO SYNDROME 3	disease		Disease or Syndrome	4	2
C3280214	WARBURG MICRO SYNDROME 2	disease		Disease or Syndrome	7	2
C3280215	HOLOPROSENCEPHALY 11	disease		Disease or Syndrome	6	1
C3280216	HYPERURICEMIC NEPHROPATHY, FAMILIAL JUVENILE, 3	disease		Disease or Syndrome	1	0
C3280220	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2O	disease		Disease or Syndrome	7	6
C3280226	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 11	disease		Disease or Syndrome	1	1
C3280240	MICROCEPHALY, EPILEPSY, AND DIABETES SYNDROME	disease		Disease or Syndrome	3	1
C3280265	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 18	disease		Disease or Syndrome	5	0
C3280266	NARCOLEPSY 7	disease		Disease or Syndrome	1	1
C3280271	PARKINSON DISEASE 18	disease		Disease or Syndrome	2	0
C3280282	NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT HYPERKINETIC MOVEMENTS AND SEIZURES, AUTOSOMAL DOMINANT	disease		Disease or Syndrome	16	9
C3280283	MENTAL RETARDATION, AUTOSOMAL DOMINANT 9	disease		Disease or Syndrome	37	11
C3280296	Microcephaly-capillary malformation syndrome	disease	C16;C05;C10;C14	Disease or Syndrome	12	2
C3280309	ARTHROGRYPOSIS, PERTHES DISEASE, AND UPWARD GAZE PALSY	disease		Disease or Syndrome	1	1
C3280314	Combined Malonic and Methylmalonic Aciduria	disease	C16;C18	Disease or Syndrome	10	4
C3280315	Platelet-Activating Factor Acetylhydrolase Deficiency	disease	C08;C20	Disease or Syndrome	3	5
C3280342	STICKLER SYNDROME, TYPE V	disease		Disease or Syndrome	1	0
C3280345	BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 4	disease		Finding	47	32
C3280346	MYOPIA, HIGH, WITH CATARACT AND VITREORETINAL DEGENERATION	disease		Disease or Syndrome	3	0
C3280352	HYDATIDIFORM MOLE, RECURRENT, 2	disease		Disease or Syndrome	5	2
C3280358	Wolfram-Like Syndrome, Autosomal Dominant	disease	C16;C18;C13;C11;C12;C10;C19;C09	Disease or Syndrome	5	4
C3280371	NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 4	disease		Disease or Syndrome	18	17
C3280378	MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 2 WITH HYPERGLYCINEMIA	disease		Disease or Syndrome	4	4
C3280381	HYPERMETHIONINEMIA DUE TO ADENOSINE KINASE DEFICIENCY	disease		Disease or Syndrome	3	1
C3280402	SCLEROSTEOSIS 2	disease		Disease or Syndrome	3	2
C3280415	COGNITIVE IMPAIRMENT WITH OR WITHOUT CEREBELLAR ATAXIA	disease		Disease or Syndrome	4	0
C3280428	Alpha-Methylacyl-CoA Racemase Deficiency	disease	C16;C18;C10	Disease or Syndrome	1	6
C3280442	PANCREATIC CANCER, SUSCEPTIBILITY TO, 4	disease		Finding	22	0
C3280443	MYOPATHY, DISTAL, TATEYAMA TYPE	disease		Disease or Syndrome	2	0
C3280452	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 12	disease		Disease or Syndrome	9	3
C3280479	PITT-HOPKINS-LIKE SYNDROME 2	disease		Disease or Syndrome	3	3
C3280492	TUMOR PREDISPOSITION SYNDROME	disease		Disease or Syndrome	62	10
C3280501	INFLAMMATORY SKIN AND BOWEL DISEASE, NEONATAL, 1	disease		Disease or Syndrome	1	0
C3280526	ARTHROGRYPOSIS, DISTAL, TYPE 1B	disease		Disease or Syndrome	3	2
C3280527	PANCREATIC LIPASE DEFICIENCY	disease		Disease or Syndrome	2	0
C3280538	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 27	disease		Disease or Syndrome	4	0
C3280556	PERIPHERAL NEUROPATHY, MYOPATHY, HOARSENESS, AND HEARING LOSS	disease		Disease or Syndrome	1	2
C3280574	SURFACTANT METABOLISM DYSFUNCTION, PULMONARY, 5	disease		Disease or Syndrome	1	0
C3280586	Mannose-Binding Protein Deficiency	disease	C16;C18	Disease or Syndrome	3	5
C3280587	AMYOTROPHIC LATERAL SCLEROSIS 16, JUVENILE	disease		Disease or Syndrome	6	2
C3280598	SHORT-RIB THORACIC DYSPLASIA 5 WITH OR WITHOUT POLYDACTYLY	disease		Disease or Syndrome	5	6
C3280612	NEPHRONOPHTHISIS 13	disease		Disease or Syndrome	6	5
C3280616	CRANIOECTODERMAL DYSPLASIA 4	disease		Disease or Syndrome	2	1
C3280644	LEUKODYSTROPHY, HYPOMYELINATING, 8, WITH OR WITHOUT OLIGODONTIA AND/OR HYPOGONADOTROPIC HYPOGONADISM	disease		Disease or Syndrome	14	3
C3280647	BACTEREMIA, SUSCEPTIBILITY TO, 2	phenotype		Finding	1	0
C3280660	ENCEPHALOPATHY, LETHAL, DUE TO DEFECTIVE MITOCHONDRIAL AND PEROXISOMAL FISSION	disease		Disease or Syndrome	8	7
C3280670	PREGNANCY LOSS, RECURRENT, SUSCEPTIBILITY TO, 1	phenotype		Finding	1	0
C3280672	PREGNANCY LOSS, RECURRENT, SUSCEPTIBILITY TO, 2	disease		Finding	1	0
C3280679	MYOPATHY, AREFLEXIA, RESPIRATORY DISTRESS, AND DYSPHAGIA, EARLY-ONSET	disease		Disease or Syndrome	12	6
C3280690	ACCELERATED TUMOR FORMATION, SUSCEPTIBILITY TO	phenotype		Finding	1	0
C3280715	GLYCEROL QUANTITATIVE TRAIT LOCUS	phenotype		Finding	1	0
C3280721	CHILBLAIN LUPUS 2	disease		Disease or Syndrome	1	0
C3280729	RADIOHUMERAL FUSIONS WITH OTHER SKELETAL AND CRANIOFACIAL ANOMALIES	disease		Disease or Syndrome	2	1
C3280730	EPILEPSY, FAMILIAL TEMPORAL LOBE, 5	disease		Disease or Syndrome	3	1
C3280734	FEBRILE SEIZURES, FAMILIAL, 11	disease		Disease or Syndrome	1	0
C3280766	JOUBERT SYNDROME 14	disease		Disease or Syndrome	7	2
C3280768	Abnormality of the posterior cranial fossa	phenotype		Finding	1	0
C3280777	VENTRICULAR SEPTAL DEFECT 1	disease		Disease or Syndrome; Congenital Abnormality	7	4
C3280781	ATRIOVENTRICULAR SEPTAL DEFECT 4	disease		Disease or Syndrome; Congenital Abnormality	3	3
C3280785	VENTRICULAR SEPTAL DEFECT 3	disease		Disease or Syndrome; Congenital Abnormality	2	2
C3280795	HYPOPLASTIC LEFT HEART SYNDROME 2	disease		Disease or Syndrome	11	3
C3280797	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2P	disease		Disease or Syndrome	13	10
C3280798	CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IB	disease		Disease or Syndrome	12	3
C3280799	CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIIB	disease		Disease or Syndrome	5	2
C3280800	HYPERTROPHIC OSTEOARTHROPATHY, PRIMARY, AUTOSOMAL RECESSIVE, 2	disease		Disease or Syndrome	13	7
C3280817	HYPOTHYROIDISM, CONGENITAL, NONGOITROUS, 6	disease		Disease or Syndrome	7	4
C3280845	CHARCOT-MARIE-TOOTH DISEASE, DOMINANT INTERMEDIATE E	disease		Disease or Syndrome	7	5
C3280856	ICHTHYOSIS, SPASTIC QUADRIPLEGIA, AND MENTAL RETARDATION	disease		Disease or Syndrome	5	0
C3280866	THIAMINE METABOLISM DYSFUNCTION SYNDROME 5 (EPISODIC ENCEPHALOPATHY TYPE)	disease		Disease or Syndrome	7	1
C3280887	HYPERGLYCINEMIA, LACTIC ACIDOSIS, AND SEIZURES	disease		Disease or Syndrome	6	2
